フラグ名,フラグ説明
#tab-hover-cards,タブの上にカーソルを置いたときに、タブ情報を含むポップアップを表示できるようにします。これはタブのツールチップの代わりになります。- Mac、Windows、Linux、Chrome OS
#tab-hover-card-images,タブホバーカードが有効な場合、タブホバーカードにプレビュー画像を表示します。- Mac、Windows、Linux、Chrome OS
#enable-storage-pressure-event,この機能を有効にすると、Chrome は DOM イベントを送信し、アプリケーションにストレージの圧力（ディスク容量の不足）を通知します - Mac、Windows、Linux、Chrome OS、Android
#installed-apps-in-cbd,インストールされているアプリのデータが削除されないように、ユーザーがインストールされているアプリのデータを保護できるクリアブラウジングデータフローに、インストールされているアプリの警告ダイアログを追加します。- Mac、Windows、Linux、Chrome OS
#enable-network-logging-to-file,ユーザーデータディレクトリにある netlog.json という名前のファイルへのネットワークロギングを有効にします。このファイルは chrome://net-internals にインポートできます。- Mac、Windows、Linux、Chrome OS、Android
#enable-web-authentication-cable-v2-support,Web 認証 API で使用する QR ベースのペアレス BLE プロトコルを有効にします。(まだ有効になっていないプラットフォームでは、クラウドベースのプロトコルも有効になります) - Mac、Windows、Linux、Chrome OS、Android
#force-preferred-interval-for-video,この機能を有効にすると、他のページコンテンツの更新頻度に関係なく、動画再生速度に合わせて合成速度が低下します - Mac、Windows、Linux、Chrome OS
#accessible-pdf-form,PDFフォームのアクセシビリティ対応を可能にします。- Mac、Windows、Linux、Chrome OS
#pdf-form-save,記入済みのフォームデータをPDFに保存できるようにする - Mac、Windows、Linux、Chrome OS
#pdf-honor-js-content-settings,オリジンの JavaScript コンテンツ設定を、そのオリジンから開いた PDF で優先するかどうかを有効にします。- Mac、Windows、Linux、Chrome OS
#pdf-viewer-update,有効にすると、PDFビューアは、新しいオプションと機能を備えた更新されたUIを表示します。- Mac、Windows、Linux、Chrome OS
#cups-ipp-printing-backend,PPD APIを呼び出す元のCUPSバックエンドではなく、CUPS IPP印刷バックエンドを使用します。- マック
#enable-lazy-image-loading,loading=lazy' 属性を持つ画像の読み込みを、その近くでページがスクロールダウンされるまで遅延させます。- Mac、Windows、Linux、Chrome OS、Android
#enable-lazy-frame-loading,loading=lazy' 属性を持つ iframe の読み込みを、ページがスクロールダウンされるまで遅延させます。- Mac、Windows、Linux、Chrome OS、Android
#autofill-enable-toolbar-status-chip,有効にすると、ツールバーのプロフィールアバターアイコンの横にあるステータスチップに自動記入データ関連のアイコンが表示されます。- Mac、Windows、Linux
#unsafely-treat-insecure-origin-as-secure,"与えられた(安全でない)オリジンを安全なオリジンとして扱います。複数のオリジンをカンマ区切りのリストで指定することができます。オリジンにはプロトコルを指定しなければなりません。安全なコンテキストの定義については、https://w3c.github.io/webappsec-secure-contexts/ - Mac, Windows, Linux, Chrome OS, Android を参照してください。"
#treat-unsafe-downloads-as-active-content,安全でないファイル（コードを実行する可能性のあるファイル）のダウンロードを禁止します。- Mac、Windows、Linux、Chrome OS、Android
#detect-target-embedding-lookalikes,対象の埋め込みドメイン（例：google.com.example.com）に移動する際に、そっくりさんのインタースティシャルを表示します。- Mac、Windows、Linux、Chrome OS、Android
#enable-accessibility-live-captions,Chromeで再生しているメディアのキャプションを生成するライブキャプション機能を有効にします。chrome://settings/accessibilityでこの機能をオンにしてください。- Mac、Windows、Linux、Chrome OS
#allow-sxg-certs-without-extension,CanSignHttpExchangesDraft拡張子を持たない証明書で署名されたOrigin-Signed HTTP Exchangesを受け入れます。警告。これを有効にすると、セキュリティリスクが発生する可能性があります。- Mac、Windows、Linux、Chrome OS、Android
#enable-sxg-subresource-prefetching,この機能を有効にすると、署名付き交換所の配布者は「alternate」リンクヘッダを設定することで、代替の署名付き交換所サブリソースを Chrome に知らせることができます。メインの署名付き取引所のパブリッシャーがメインの署名付き取引所の署名済み内部レスポンスに「allowed-alt-sxg」リンクヘッダを設定している場合、Chrome は代替の署名付き取引所サブリソースをプリフェッチし、それらをロードします。- Mac、Windows、Linux、Chrome OS、Android
#enable-sxg-prefetch-cache-for-navigations,有効にすると、プリフェッチされた署名付き交換は、フレームに接続されたプリフェッチキャッシュに保存されます。内部応答のボディはブロブとして保存され、署名付き交換の検証プロセスは、次のナビゲーションのためにスキップされます。- Mac、Windows、Linux、Chrome OS、Android
#enable-autofill-account-wallet-storage,オートフィル用のアカウントデータのエフェメラルストレージを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#compositor-threaded-scrollbar-scrolling,メインスレッドの代わりにコンポジタースレッドでポインタベースのスクロールバースクロールを有効にします。
#happiness-tracking-surveys-for-desktop-devtools-issues-cookies-same-site,デスクトップのChrome DevToolsで、同一サイトのCookieの問題に対する幸福度追跡調査の表示を有効にします。- Mac、Windows、Linux、Chrome OS
#happiness-tracking-surveys-for-desktop-demo,デスクトップ - Mac、Windows、Linux、Chrome OSのユーザーに幸福度追跡調査のデモを表示することを有効にする
#happiness-tracking-surveys-for-desktop-migration,ハピネス追跡調査の最新版を有効にします。- Mac、Windows、Linux、Chrome OS
#happiness-tracking-surveys-for-desktop-settings,デスクトップ - Mac、Windows、Linux、Chrome OSのユーザーに設定のための幸福度追跡調査を表示することを有効にします。
#happiness-tracking-surveys-for-desktop-settings-privacy,プライバシー設定のためのハピネス追跡調査をデスクトップのユーザーに表示することを有効にする - Mac、Windows、Linux、Chrome OS
#use-multilogin-endpoint,アイデンティティの一貫性を保つために Gaia OAuth マルチログインを使用します。- Mac、Windows、Linux
#enable-new-profile-picker,新しいプロファイルピッカーの実装を可能にします。- Mac、Windows、Linux
#enable-profiles-ui-revamp,Mac、Windows、Linuxの設定で、新しいサインインフロー、プロファイルのプロモバブル、カラーピッカーなど、プロファイル関連の機能をいくつか有効にします。
#destroy-profile-on-browser-close,Chrome が完全に閉じたときではなく、プロファイルの最後のブラウザウィンドウが閉じたときにメモリやその他のリソースを解放する。- Mac、Windows、Linux
#click-to-call-ui,テレフォニー機能を持つユーザーの利用可能なデバイスのリストを表示することで、クリックコール機能の信号をデスクトップ上で処理できるようにします。- Mac、Windows、Linux、Chrome OS
#remote-copy-receiver,リモートコピー機能を有効にして、内容をクリップボードに書き込んだり、ユーザーに通知を表示したりしてメッセージを処理することができます。- Mac、Windows、Linux、Chrome OS
#remote-copy-image-notification,メッセージ受信時にリモートコピー機能の画像通知を表示できるようにします。- Mac、Windows、Linux、Chrome OS
#remote-copy-persistent-notification,メッセージを受信したときにリモートコピー機能の通知を永続的に表示できるようにします。- Mac、Windows、Linux、Chrome OS
#remote-copy-progress-notification,メッセージ受信時にリモートコピー機能の進捗通知を表示できるようにします。- Mac、Windows、Linux、Chrome OS
#restrict-gamepad-access,ゲームパッドAPIのフィーチャーポリシーとセキュアコンテキストの制限を有効にする - Mac、Windows、Linux、Chrome OS、Android
#shared-clipboard-ui,クリップボードを共有するユーザーの利用可能なデバイスのリストを表示することで、共有クリップボード機能のシグナルを処理できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#sharing-qr-code-generator,生成されたQRコードでページのURLを右クリックUIで共有できるようにする。- Mac、Windows、Linux、Chrome OS
#enable-gpu-service-logging,実際のGLドライバの呼び出しを印刷できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#hardware-media-key-handling,メディアキーを使用してアクティブなメディアセッションを制御することを有効にします。MediaSessionServiceも有効にする必要があります - Mac、Windows、Linux、Chrome OS
#autofill-use-improved-label-disambiguation,この機能を有効にすると、オートフィルドロップダウンのサジェストのラベルが、改良された曖昧性解消フォーマットを使用して表示されるようになりました。- Mac、Windows、Linux、Chrome OS、Android
#file-handling-api,ファイルハンドリングAPIを有効にして、ウェブサイトをファイルハンドラーとして登録できるようにします。- Mac、Windows、Linux、Chrome OS
#installable-ink-drop,InstallableInkDrop は、InkDrop のリファクタリング作業の一部です。これにより、利用可能な場合にはパイロット的な実装が可能になります。- Mac、Windows、Linux、Chrome OS
#enable-md-rounded-corners-on-dialogs,セカンダリ UI のコーナー半径を大きくします。- Mac、Windows、Linux、Chrome OS
#enable-new-badge-on-menu-items,有効にすると、新しい機能にアクセスするメニュー項目を識別するための「新規」バッジが表示されます。- Mac、Windows、Linux、Chrome OS
#strict-origin-isolation,サイト分離ポリシーを強化する実験的なセキュリティモードです。サイト分離でスキームと eTLD+1 の代わりにオリジンを使用するかどうかを制御します。- Mac、Windows、Linux、Chrome OS、Android
#enable-skia-renderer,この機能を有効にすると、ディスプレイコンポジターはOpenGL ESの代わりにSkiaをグラフィックスAPIとして使用します。- Mac、Windows、Linux、Android
#enable-portals,ポータルは、ページ間の埋め込みやシームレスな遷移を可能にする実験的なウェブプラットフォーム機能です。https://github.com/WICG/portals と https://wicg.github.io/portals/ を参照してください - Mac、Windows、Linux、Chrome OS、Android
#enable-portals-cross-origin,ポータルが同一オリジンの URL に加えてクロスオリジンの URL をロードできるようにします。Portals が有効になっていない場合は効果はありません。- Mac、Windows、Linux、Chrome OS、Android
#enable-autofill-credit-card-authentication,この機能を有効にすると、Googleペイメントからクレジットカードを取得する際に、プラットフォーム認証機能（利用可能な場合）を使用してカードの所有権を確認するオプションがユーザーに与えられます。- Mac、Windows、Linux、Chrome OS、Android
#storage-access-api,Storage Access APIを有効にして、Webサイトがストレージへのアクセスを制限されている場合に、Webサイトがストレージへのアクセスを要求できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#same-site-by-default-cookies,SameSite属性を指定していないクッキーは、SameSite=Laxであるかのように扱います。サードパーティの使用を有効にするには、サイトが SameSite=None を指定する必要があります。- Mac、Windows、Linux、Chrome OS、Android
#enable-removing-all-third-party-cookies,chrome://settings/siteData上のUIを有効にして、サードパーティ製のCookieとサイトデータをすべて削除します。- Mac、Windows、Linux、Chrome OS
#cookies-without-same-site-must-be-secure,有効にした場合、SameSite 制限なしのクッキーも Secure にする必要があります。セキュア属性を指定せずに SameSite 制限なしのクッキーが設定されている場合は、拒否されます。このフラグは、「SameSite by default cookies」も有効になっている場合にのみ有効になります。- Mac、Windows、Linux、Chrome OS、Android
#enterprise-reporting-api-keychain-recreation,エンタープライズレポートのプライベートAPIがMac上でキーチェーンアイテムを再作成できるようにしました。再作成されたアイテムは、他のバイナリからもアクセスできます。- Mac
#enterprise-realtime-extension-request,リアルタイムの拡張要求のアップロードを有効にします。この機能を使用するには、エンタープライズレポートと拡張機能リクエストが有効になっている必要があります。- Mac、Windows、Linux、Chrome OS
#enable-unsafe-fast-js-calls,警告: 型チェック、いくつかのPOD型と配列型はまだサポートされていないので、クラッシュする可能性があります。- Mac、Windows、Linux、Chrome OS、Android
#allow-sync-xhr-in-page-dismissal,ユーザーによってページが移動されたり閉じられたりしているときに、ページが閉じられている間に同期した XHR リクエストを可能にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-sync-requires-policies-loaded,起動前にすべてのポリシーがロードされるのを待つようにSyncの動作を有効にする - Mac、Windows、Linux、Chrome OS、Android
#form-controls-dark-mode,この機能を有効にすると、フォームコントロールとスクロールバーがダークなテーマでレンダリングされ、ダークな配色をサポートしているウェブページ上でのみ、またOSをダークなテーマに切り替えた場合にレンダリングされます。- Mac、Windows、Linux、Chrome OS
#color-picker-eye-dropper,この機能を有効にすると、カラーピッカーにはスポイトコントロールが含まれ、色の選択に使用できます。- Mac、Windows
#audio-worklet-realtime-thread,オーディオストリームの安定性を向上させるために、リアルタイムの優先スレッド上でオーディオワークレットの操作を実行します。- Mac、Windows、Linux、Chrome OS、Android
#cookies-page-redesign,"クッキーページの再設計を有効にする - Mac, Windows, Linux, Chrome OS"
#safe-browsing-enhanced-protection-message-in-interstitials,この機能を有効にすると、ユーザーが強化保護モードになっていない場合、セーフ ブラウジング インタースティシャルと SSL インタースティシャルに強化保護メッセージが表示されます。- Mac、Windows、Linux、Chrome OS、Android
#cookie-deprecation-messages,送信/受信クッキーに影響を与える予定の廃止予定のメッセージをDevToolsに表示します。- Mac、Windows、Linux、Chrome OS、Android
#enable-autofill-credit-card-upload-feedback,有効にすると、クレジットカードのアップロードに成功するとアバターボタンにハイライトが表示され、そうでない場合はアイコンが更新され、クリックするとカードの保存失敗のバブルが表示されます。- Mac、Windows、Linux
#font-access,実験的な Font Access API を有効にし、ウェブサイトがローカルフォントを列挙し、そのテーブルデータにアクセスできるようにします。- Mac、Windows、Linux、Chrome OS、Android
#font-access-chooser,実験的なFont Access Chooser APIを有効にし、ピッカーを使用してウェブサイトにローカルフォントデータへのアクセスを可能にします。- Mac、Windows、Linux、Chrome OS、Android
#global-media-controls-for-cast,グローバルメディアコントロールUIのキャストセッションを表示します。global-media-controls と #cast-media-rout-provider が有効になっている必要があります。- Mac、Windows、Linux
#global-media-controls-modern-ui,グローバル メディア コントロール UI の再設計版を使用します。global-media-controlsも有効にする必要があります。- Mac、Windows、Linux、Chrome OS
#global-media-controls-picture-in-picture,グローバル メディア コントロール UI のピクチャー イン ピクチャー コントロールを有効にします。global-media-controlsも有効にする必要があります。- Mac、Windows、Linux、Chrome OS
#global-media-controls-seamless-transfer,グローバルメディアコントロールUIでメディアを再生するオーディオ出力デバイスの選択を有効にします。global-media-controlsも有効にする必要があります。- Mac、Windows、Linux
#global-media-controls-overlay-controls,グローバルメディアコントロールダイアログからコントロールをドラッグアウトできるようにします。global-media-controlsも有効にする必要があります。- Mac、Windows、Linux
#safety-tips,この機能を有効にすると、Chrome が疑わしいと判断したサイトにアクセスした場合、安全に関するヒント UI が表示されることがあります。- Mac、Windows、Linux、Chrome OS、Android
#turn-off-streaming-media-caching-on-battery,メディア再生時のディスクアクティビティを低減し、省電力化を実現します。- Mac、Windows、Linux、Chrome OS、Android
#turn-off-streaming-media-caching-always,メディア再生時のディスクアクティビティを低減し、省電力化を実現します。- Mac、Windows、Linux、Chrome OS、Android
#enable-defer-all-script,遅いページでの同期スクリプトの遅延を有効にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-defer-all-script-without-optimization-hints,Defer Script プレビューの最適化ヒントのチェックをスキップし、ECT トリガーのしきい値が 4G に設定されていると仮定します（これは最適化ヒントで指定されています）。残りのチェックは引き続き実行されます。- Mac、Windows、Linux、Chrome OS、Android
#decode-jpeg-images-to-yuv,RGBの代わりにYUVから4:2:0フォーマットのJPEG画像をデコードしてレンダリングします。- Mac、Windows、Linux、Chrome OS、Android
#decode-webp-images-to-yuv,RGBではなくYUVからロッシーなWebP画像をデコードしてレンダリングします。また、GPUラスタライズまたはOOPラスタライズも必要です。- Mac、Windows、Linux、Chrome OS、Android
#dns-httpssvc,この機能を有効にすると、Chrome は設定済みの DoH サーバーに HTTPSSVC レコードを問い合わせることができます。HTTPSSVC レコードが返された場合、Chrome は URL を HTTPS にアップグレードすることがあります。レコードに QUIC のサポートが示されている場合、Chrome は最初の接続で QUIC を試行することがあります。- Mac、Windows、Chrome OS、Android
#web-bundles,Webバンドル(Bundled HTTP Exchanges)ナビゲーションの実験的なサポートを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-autofill-upi-vpa,この機能を有効にすると、オートフィルが支払いフォームで UPI/VPA 値を認識したときに、その値を保存することができます。保存されている場合は、VPA を期待するフィールドへの入力用に提供されます。- Mac、Windows、Linux、Chrome OS、Android
#quiet-notification-prompts,通知の許可要求に対して、より静かな許可プロンプトを有効にします。サイトが通知の表示を希望する場合、通常のモーダルダイアログがより静かなバージョンに置き換えられます。- Mac、Windows、Linux、Chrome OS、Android
#abusive-notification-permission-revocation,不正なオリジンに対する通知許可の取り消しを有効にします。サービスワーカーにプッシュメッセージをディスパッチする前に、セーフブラウジングによってオリジンが検証されます。不正な通知許可要求やコンテンツを持つオリジンは、通知許可を取り消されます。- Mac、Windows、Linux、Chrome OS、Android
#passwords-account-storage,ログインしているが同期していないユーザーのために、パスワードをセカンドストレージに保存することを可能にします。
#passwords-account-storage-iph,"ログインしているが同期していないユーザーのために、パスワードを秒単位で保存するGaiaアカウントスコープ付きストレージについての製品内ヘルプを有効化 - Mac, Windows, Linux"
#autofill-always-return-cloud-tokenized-card,この機能を有効にすると、Google Payments のサーバーカードを使用して入力されたフォームには、CPAN（プライマリアカウント番号のクラウドトークン化されたバージョン）や dCVV（動的 CVV）などのクラウドトークンの詳細が入力されます。- Mac、Windows、Linux、Chrome OS、Android
#back-forward-cache,同一サイトへの移動時にもキャッシュを有効にするには、「同一サイトサポートを有効にする」を選択してください。- Mac、Windows、Linux、Chrome OS、Android
#impulse-scroll-animations,デフォルトのスクロールアニメーションをインパルススタイルのスクロールアニメーションに置き換えます。- Mac、Windows、Linux、Chrome OS、Android
#percent-based-scrolling,有効にすると、マウスホイールとキーボードのスクロールは、スクロールサイズのパーセンテージでスクロールします。- Mac、Windows、Linux、Chrome OS、Android
#scroll-unification,Blink からスクロール処理のコードを削除するリファクタリングプロジェクト。挙動やパフォーマンスには影響しません。- Mac、Windows、Linux、Chrome OS、Android
#enable-core-location-backend,Geolocation API のバックエンドとして Core Location API を使用できるようになります。
#enable-core-location-implementation,macOS上で位置情報のパーミッションを取得するためのCore Location APIの使用を有効にする - Mac
#enable-new-mac-notification-api,macOS 10.14+で動作するAppleの新しい通知APIの利用を有効にする - Mac
#enable-de-jelly,ゼリースクロール」を緩和しようとする実験的な効果を有効にします。これは実験的な実装であり、既知のバグ、ビジュアルアーチファクト、パフォーマンスコストがあります。この実装はいつでも削除することができます。- Mac、Windows、Linux、Chrome OS、Android
#enable-heavy-ad-intervention,デバイスリソースを使いすぎる広告をアンロードします。- Mac、Windows、Linux、Chrome OS、Android
#heavy-ad-privacy-mitigations,重い広告の介入に対してプライバシーの緩和を有効にします。これを無効にすると、介入が決定論的になります。デフォルトは有効。- Mac、Windows、Linux、Chrome OS、Android
#enable-ftp,有効にすると、ブラウザはディレクトリリストを表示するか、FTP でリソースをダウンロードすることで、ftp:// URL へのナビゲートを処理します。無効にすると、ブラウザは ftp:// URL に対して特別な処理を行わず、デフォルトでは、URL の処理を基礎となるプラットフォームに延期します。- Mac、Windows、Linux、Chrome OS、Android
#autofill-enable-virtual-card,有効にすると、すべての要件が満たされている場合、オートフィルはフォーム入力で仮想クレジットカードを使用することを提案します。- Mac、Windows、Linux、Chrome OS
#raw-clipboard,生の / サニタイズされていないクリップボードの内容を読み書きできるようにします。https://github.com/WICG/raw-clipboard-access を参照してください。- Mac、Windows、Linux
#freeze-user-agent,"User-Agentリクエストヘッダーを静的文字列に設定します。これは、現在のUser-Agent文字列フォーマットに準拠していますが、デスクトップとAndroidのどちらか一方のみを表示し、'mobile'フラグが設定されている場合は、'mobile'フラグが設定されています - Mac, Windows, Linux, Chrome OS, Android"
#enable-user-data-snapshot,Chrome アップデート後のユーザー データ ディレクトリのスナップショットを取得し、バージョン ロールバック後に復元できるようにします。- Mac、Windows、Linux
#legacy-tls-enforced,非推奨で将来的に削除される予定のレガシーTLSバージョン（TLS 1.0とTLS 1.1）を使用しているサイトの接続エラーとインタースティシャルを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#color-provider-redirection,カラーリクエストを可能な限りカラープロバイダにリダイレクトします。- Mac、Windows、Linux、Chrome OS
#trust-tokens,プロトタイプの Trust Token API (https://github.com/wicg/trust-token-api) を有効にします。- Mac、Windows、Linux、Chrome OS、Android
#media-history,Webサイトのメディア再生周辺のデータを記録する「メディアヒストリー」を有効にします。- Mac、Windows、Linux、Chrome OS、Android
#copy-link-to-text,選択したテキストが強調表示されているページへのリンクをコピーできるように、コンテキストメニューに項目を追加します。- Mac、Windows、Linux、Chrome OS
#app-cache,無効にすると、すべての AppCache コードをオフにします。これにより、開発者は、将来 AppCache が削除されたときにコードが正しく動作するかどうかをテストできます。無効にすると、プロファイルディレクトリからの AppCache データも削除されます。- Mac、Windows、Linux、Chrome OS、Android
#enable-autofill-cache-server-card-info,この機能を有効にすると、サーバカードがアンマスクされると、その情報はページナビゲーションまでキャッシュされ、同じページでの連続した塗りつぶしを簡単にすることができます。- Mac、Windows、Linux、Chrome OS、Android
#autofill-enable-sticky-payments-bubble,この機能を有効にすると、ナビゲーション時にすべての自動支払いバブルが解除されません。- Mac、Windows、Linux、Chrome OS
#enable-experimental-cookie-features,クッキーの設定、送信、管理に影響を与える新しい機能を有効にします。有効化された機能は随時変更される場合があります。- Mac、Windows、Linux、Chrome OS、Android
#autofill-enable-google-issued-card,有効にすると、オートフィルのサジェストでGoogle発行のカードが利用できるようになります。- Mac、Windows、Linux、Chrome OS、Android
#permission-chip,ロケーションバーのチップを使用した実験的な許可プロンプトを有効にします。- Mac、Windows、Linux、Chrome OS
#dice-web-signin-interception,この機能を有効にすると、Chrome はウェブ上でのサインイン後にプロファイルの作成を促進することがあります。- Mac、Windows、Linux
#new-canvas-2d-api,canvas 2D API の進行中の機能を有効にします。https://github.com/fserb/canvas2d を参照。- Mac、Windows、Linux、Chrome OS、Android
#enable-translate-sub-frames,サブフレーム（メインフレームと同様に）の翻訳を有効にする - Mac、Windows、Linux、Chrome OS、Android
#enable-media-feeds,メディアフィード機能を有効にして、この機能をサポートしているウェブサイトからメディアアイテムのフィードを取得できるようにします。- Mac、Windows、Linux、Chrome OS
#enable-media-feeds-background-fetch,"メディアフィードのバックグラウンド取得機能を有効にして、フィードをバックグラウンドで取得できるようにします。有効にするには #enable-media-feeds が必要です。- Mac, Windows, Linux, Chrome OS"
#autofill-enable-card-nickname-management,有効にすると、クレジットカードのニックネームをローカルで変更できるようになります。- Mac、Windows、Linux、Chrome OS、Android
#conversion-measurement-api,コンバージョン測定APIの使用を有効にします。＃enable-experimental-web-platform-featuresが有効になっている必要があります。- Mac、Windows、Linux、Chrome OS、Android
#conversion-measurement-debug-mode,変換測定APIのデバッグモードを有効にします。これにより、すべてのレポートの遅延とノイズが除去されます。Conversion Measurement APIがすでに有効になっている場合にのみ動作します。- Mac、Windows、Linux、Chrome OS、Android
#client-storage-access-context-auditing,クライアント側ストレージにアクセスしたファーストパーティのコンテキスト（Mac、Windows、Linux、Chrome OS）を記録します。
#autofill-enable-card-nickname-upstream,この機能を有効にすると、ローカルに保存されているクレジットカードのニックネームをペイメントにアップロードできるようになります。- Mac、Windows、Linux、Chrome OS、Android
#autofill-enable-offers-in-downstream,有効にすると、ダウンストリーム中にオファーデータが取得され、ドロップダウンリストに表示されます。- Mac、Windows、Linux、Chrome OS、Android
#schemeful-same-site,同じ登録可能なドメインであっても、スキームが異なるオリジンはクロスサイトとみなされるように、同一サイト計算を変更します。この変更は、'SameSite'属性を持つクッキーにのみ適用されます。- Mac、Windows、Linux、Chrome OS、Android
#enable-bluetooth-spp-in-serial-api,有効にすると、Bluetooth Serial Port ProfileデバイスがSerial APIで使用するために列挙されます。- Mac
#enable-lite-video,LiteVideoの最適化を有効にして、メディア要求をスロットル化してデータ使用量を減らす - Mac、Windows、Linux、Chrome OS、Android
#lite-video-default-downlink-bandwidth-kbps,使用するスロットリング帯域幅を指定する - Mac、Windows、Linux、Chrome OS、Android
#lite-video-force-override-decision,すべてのナビゲーションでLiteVideoの判定を強制的に許可する - Mac、Windows、Linux、Chrome OS、Android
#edit-passwords-in-settings,設定でパスワードの編集を可能にする - Mac、Windows、Linux、Chrome OS、Android
#mixed-forms-disable-autofill,この設定を有効にすると、混合フォーム (HTTP で送信する HTTPS サイトのフォーム) では自動入力が許可されず、代わりに警告バブルが表示されます。パスワードの自動入力は、この設定の影響を受けません。- Mac、Windows、Linux、Chrome OS、Android
#mixed-forms-interstitial,この機能を有効にすると、混合コンテンツフォーム（HTTPで送信するHTTPSサイト上のフォーム）が送信された際に、フルページのインタースティシャル警告が表示されます。- Mac、Windows、Linux、Chrome OS、Android
#h264-decoder-is-buffer-complete-frame,H.264 デコーダは各 DecoderBuffer を完全なフレームとして扱います。デフォルトでは有効になっています。- Mac、Windows、Linux、Chrome OS、Android
#content-settings-redesign,新しいコンテンツ設定ページのUIを有効にします。- Mac、Windows、Linux、Chrome OS
#enable-tab-search,Top Chrome UIのタブ検索機能を有効にすると、ポップアップバブルが表示され、現在開いているタブの上から検索できるようになります。- Mac、Windows、Linux、Chrome OS
#enable-avif,AVIF 画像フォーマットの画像デコードサポートを追加しました。- Mac、Windows、Linux、Chrome OS
#passwords-weakness-check,"パスワードチェックでパスワードの脆弱性をチェックできるようにする - Mac, Windows, Linux, Chrome OS"
#well-known-change-password,"有効にすると、パスワードチェックアップの 'パスワード変更' ボタンは .known/change-password のパスにリダイレクトされます。このパスはサイトのパスワード変更フォームを指すことになっています。サイトが .known/change-password をサポートしていない場合、フォールバックURLが利用可能かどうかがチェックされます。そうでない場合、ユーザーは元のサイトにリダイレクトされます。- Mac, Windows, Linux, Chrome OS, Android"
#window-naming,ウィンドウのネーミングUIが有効かどうか。- Mac、Windows、Linux、Chrome OS、Android
#videotoolbox-vp9-decoding,VP9ビデオのハードウェアデコードのためのVideoToolboxの使用法を制御します。- Macの場合
#sync-autofill-wallet-offer-data,有効にすると、オートフィルウォレットオファーのデータタイプを同期することができます。- Mac、Windows、Linux、Chrome OS、Android
#enable-oop-print-drivers,オペレーティングシステムとの印刷インタラクションをプロセス外で実行できるようにします。- Mac、Windows、Linux、Chrome OS
#mute-notifications-during-screen-share,画面共有中に新しい通知が表示されないようにします。- Mac、Windows、Linux、Chrome OS
#enable-ephemeral-guest-profiles-on-desktop,Windows、Linux、Mac上で、一時的なゲストプロファイルを有効にします。- Mac、Windows、Linux
#enable-browsing-data-lifetime-manager,BrowsingDataLifetimeManagerサービスを有効にして、BrowsingDataLifetimeポリシーで指定された閲覧データを実行し、定期的に削除します。- Mac、Windows、Linux、Chrome OS
#privacy-advisor,プライバシー設定を調整するための文脈に沿ったエントリーポイントを提供 - Mac、Windows、Linux、Chrome OS
#desktop-in-product-help-snooze,製品内ヘルププロモをスヌーズすると、そのプロモが閉じられ、後で表示されるようにスケジュールされます。この機能を有効にすると、サポートされているプロモーションでこの機能が使用できます。- Mac、Windows、Linux、Chrome OS
#sct-auditing,セーフブラウジング拡張レポートを選択したユーザーのSCT監査を可能にします。- Mac、Windows、Linux、Chrome OS
#kaleidoscope-ntp-module,Kaleidoscope NTPモジュールを有効にして、新しいタブページにKaleidoscopeのコンテンツを表示します。- Mac、Windows、Linux、Chrome OS
#use-first-party-set,提供されたオリジンのリストをファーストパーティセットとして使用し、最初に有効なオリジンをセットの所有者とします。- Mac、Windows、Linux、Chrome OS、Android
#check-offline-capability,高度なオフライン機能チェックを使用して、ブラウザがPWAのインストールプロンプトを表示しているかどうかを判断します。- Mac、Windows、Linux、Chrome OS、Android
#detect-form-submission-on-form-clear,"パスワード変更フォームのフォーム送信がクリアされてページから削除されないフォームを検出 - Mac, Windows, Linux, Chrome OS, Android"
#shutdown-support-for-keepalive,有効にすると、keepalive requests (https://fetch.spec.whatwg.org/#request-keepalive-flag) はブラウザのシャットダウンシーケンスを短時間ブロックします。- Mac、Windows、Linux、Chrome OS
#permission-predictions,ユーザーが許可を与える可能性が低いと予測される場合に、より静かな UI を使用して許可要求を表面化するために、許可予測サービスを使用します。chrome://flags/#quiet-notification-prompts と `Safe Browsing Enhanced Protection` が有効になっている必要があります。- Mac、Windows、Linux、Chrome OS、Android
